origin,destination,depart_date,gate,price_eur_new,price_eur_old,price_diff,change_pct,route,change_type
IST,BCN,2026-02-06,Kupi.com,158,157,1,0.6369426751592357,IST → BCN,Stable (±1%)
IST,BCN,2026-01-30,Kupi.com,158,157,1,0.6369426751592357,IST → BCN,Stable (±1%)
IST,BCN,2026-01-30,Kupi.com,158,158,0,0.0,IST → BCN,Stable (±1%)
IST,BCN,2026-02-01,Kupi.com,158,157,1,0.6369426751592357,IST → BCN,Stable (±1%)
IST,BCN,2026-02-01,Kupi.com,158,158,0,0.0,IST → BCN,Stable (±1%)
IST,BCN,2026-02-02,Kupi.com,158,157,1,0.6369426751592357,IST → BCN,Stable (±1%)
IST,BCN,2025-11-12,Aviakassa,158,152,6,3.9473684210526314,IST → BCN,Minor Increase (1-5%)
IST,BCN,2025-11-12,Aviakassa,158,157,1,0.6369426751592357,IST → BCN,Stable (±1%)
IST,BCN,2025-11-12,Aviakassa,158,162,-4,-2.4691358024691357,IST → BCN,Minor Drop (1-5%)
IST,BCN,2026-02-04,Kupi.com,159,157,2,1.2738853503184715,IST → BCN,Minor Increase (1-5%)
IST,BCN,2026-02-05,Kupi.com,159,158,1,0.6329113924050633,IST → BCN,Stable (±1%)
IST,BCN,2026-02-05,Kupi.com,159,158,1,0.6329113924050633,IST → BCN,Stable (±1%)
IST,BCN,2026-01-31,Kupi.com,159,158,1,0.6329113924050633,IST → BCN,Stable (±1%)
IST,BCN,2026-02-01,Kupi.com,159,157,2,1.2738853503184715,IST → BCN,Minor Increase (1-5%)
IST,BCN,2026-02-01,Kupi.com,159,158,1,0.6329113924050633,IST → BCN,Stable (±1%)
IST,BCN,2026-02-05,Kupi.com,159,158,1,0.6329113924050633,IST → BCN,Stable (±1%)
IST,BCN,2026-02-05,Kupi.com,159,158,1,0.6329113924050633,IST → BCN,Stable (±1%)
IST,BCN,2026-01-30,Kupi.com,159,157,2,1.2738853503184715,IST → BCN,Minor Increase (1-5%)
IST,BCN,2026-01-30,Kupi.com,159,158,1,0.6329113924050633,IST → BCN,Stable (±1%)
IST,BCN,2025-11-17,Aviakassa,159,158,1,0.6329113924050633,IST → BCN,Stable (±1%)
IST,BCN,2025-11-17,Aviakassa,159,166,-7,-4.216867469879518,IST → BCN,Minor Drop (1-5%)
IST,BCN,2026-01-29,Aviakassa,159,158,1,0.6329113924050633,IST → BCN,Stable (±1%)
IST,BCN,2025-10-08,City.Travel,160,163,-3,-1.8404907975460123,IST → BCN,Minor Drop (1-5%)
